index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image
25,7,25,44,0,0,2,2,44,1,ddddddrrrulluruluuurrrdrdrddddllurulurulluld,1111100/1111110/1111111/1110111/1110111/1111111/1111111,images/grid_0025_n7_seed25.svg
26,7,26,41,0,0,6,4,40,0,ddddddrrruuruuulddllurulurrrrrddddddluld,1111111/1111101/1111101/1111101/1001101/1001111/1111111,images/grid_0026_n7_seed26.svg
27,7,27,36,0,0,4,0,38,3,rrdrurrrddulldldrdrdrdlludlllluruuludd,1111111/0011111/1001101/1101100/1100110/1100111/1111111,images/grid_0027_n7_seed27.svg
28,7,28,41,0,0,0,1,41,1,ddrdldddrrrullurruuurddrddrduuuulurulllll,1111111/1001111/1101111/1101111/1111011/1111011/1111001,images/grid_0028_n7_seed28.svg
29,7,29,37,0,0,5,6,39,3,ddddddrrrruuluuuldrrrluullldddrdldrrrrr,1111100/1111100/1111110/1111000/1111100/1111111/1111100,images/grid_0029_n7_seed29.svg
30,7,30,40,0,0,6,0,40,1,drurrrrrddddddlluruuuuldlulddrrdlddlludl,1111111/1111111/0011111/0011111/0001111/0101111/1111111,images/grid_0030_n7_seed30.svg
31,7,31,44,0,0,2,5,43,0,ddddddrruluuuuurrrrrdddldddluulluuurddruurd,1111111/1111111/1111111/1111111/1111110/1110110/1110110,images/grid_0031_n7_seed31.svg
32,7,32,42,0,0,0,5,43,2,drurlddlddddrrrrrrullluldluururdrdrruluruul,1110011/1100001/1111011/1111111/1111111/1111111/1111111,images/grid_0032_n7_seed32.svg
33,7,33,45,0,0,4,4,44,0,ddddddrrrrurruuuuuldlullldddddrruluuurddrrdl,1111111/1111111/1111001/1111111/1111111/1111111/1111100,images/grid_0033_n7_seed33.svg
34,7,34,44,0,0,3,5,44,1,dddrdlddurruruuullurrrrrddddddlllurruluuurdd,1111111/1111111/1001111/1101111/1111111/1111111/1001111,images/grid_0034_n7_seed34.svg
35,7,35,42,0,0,2,4,42,1,dddrdlddrrrrrrululululluurdrurrrdddduluuld,1111111/1111111/1111111/1101111/1100111/1000011/1111111,images/grid_0035_n7_seed35.svg
36,7,36,40,0,0,6,5,39,0,rrrrrrdlllllldrrrrrrdlllllldrrdlldrrrrr,1111111/1111111/1111111/1111111/1110000/1110000/1111110,images/grid_0036_n7_seed36.svg
37,7,37,42,0,0,3,6,43,2,ddddddrruluuuuurrrrrdlldlulddrdlrrddrrulruu,1111111/1111111/1111100/1111001/1111101/1110111/1110111,images/grid_0037_n7_seed37.svg
38,7,38,42,0,0,5,6,41,0,drurrrrrdddluulddluuldldrdllddrurdruurrrd,1111111/1111111/0111111/0111111/1111111/1111001/1111000,images/grid_0038_n7_seed38.svg
39,7,39,43,1,0,6,0,43,1,ddrdrdruululurrurrrddddddluuuuuldldrdddllll,0001111/1111111/1111111/1111111/0111111/0011111/1111111,images/grid_0039_n7_seed39.svg
40,7,40,41,0,0,5,3,40,0,drurrdddllldrrddrrrruuuuuulldrdldrddluld,1111111/1101111/0001111/1111111/1111111/0011111/0011111,images/grid_0040_n7_seed40.svg
41,7,41,44,0,0,0,3,45,2,rlddddddrrrrrruuuuuuldddddluulddlluurduurruul,1101111/1000111/1011111/1111111/1111111/1111111/1111111,images/grid_0041_n7_seed41.svg
42,7,42,44,0,0,3,5,44,1,ddddddruurulurulurrdrurrdldldddldrrruluruudl,1111111/1111111/1110111/1110111/1110111/1101111/1101111,images/grid_0042_n7_seed42.svg
43,7,43,42,0,0,5,1,42,1,ddddddrrurdrrruluruluruuldlullldrrdrlllddd,1111111/1111111/1111111/1100011/1100011/1111011/1111111,images/grid_0043_n7_seed43.svg
44,7,44,44,0,0,6,0,44,1,rdlddrurrdldldrruruuuulrrrdldrdldrddluldllll,1101111/1100111/1111111/1111111/0111111/0111111/1111111,images/grid_0044_n7_seed44.svg
45,7,45,40,3,0,1,1,41,2,dddrrrrrruuuuuulllrdrdldrddlululddrlluuuu,0001111/0100111/0100111/1111111/1111111/1111111/1111111,images/grid_0045_n7_seed45.svg
46,7,46,38,0,0,6,6,38,1,ddruurdrdldlldrddruururdduruuuurdddddd,1110011/1111011/1111011/1111111/1111111/0110101/0110001,images/grid_0046_n7_seed46.svg
47,7,47,38,1,0,0,2,41,4,rdlrrrldlldddrurdrururudddlrruuuulurullll,0011111/1100011/1111011/1110011/1000111/1111111/1111111,images/grid_0047_n7_seed47.svg
48,7,48,41,0,0,6,6,44,4,dddddduuruuuurrrrrddluldlulddddrdrluuurrrddd,1111111/1111111/1111111/1111111/1111001/1011001/1001101,images/grid_0048_n7_seed48.svg
49,7,49,40,1,0,5,1,41,2,dddddrrururuluururrdldrddddluuuulllldrdld,0000111/1001111/1111111/1111111/1111111/1111011/1110011,images/grid_0049_n7_seed49.svg
50,7,50,42,2,0,1,6,43,2,ddddrrrrrruuulddluuuldddlluruluruludrrurrrd,0101111/0111001/1111100/1111111/1111111/1111111/1111111,images/grid_0050_n7_seed50.svg
51,7,51,44,0,0,0,6,44,1,ddddddrrrrrrulluururllulddddllurulurulurrrrr,1111111/1111100/1111111/1111110/1111100/1111111/1111111,images/grid_0051_n7_seed51.svg
52,7,52,42,0,0,6,3,43,2,dddrrrrullurrrdddddruuuuuulllllddddlddurrdr,1111111/1111111/1111111/1111111/1100011/1110011/1011011,images/grid_0052_n7_seed52.svg
53,7,53,42,0,0,5,0,43,2,dddrrurullduurrrrrdldrdldrddlululldrdrllllu,1111111/1111011/1111011/1110011/0011111/1011111/1111111,images/grid_0053_n7_seed53.svg
54,7,54,43,0,0,3,2,43,1,ddddddrrrrrruludlluuuurrdruullllldrdldddruu,1111111/1111111/1111011/1111000/1111010/1111111/1111111,images/grid_0054_n7_seed54.svg
55,7,55,43,0,0,0,6,44,2,ddddddrrrrrrllullluuuuurrdldddruurrdldrruuuu,1111001/1111001/1111111/1111111/1111111/1111100/1111111,images/grid_0055_n7_seed55.svg
56,7,56,42,0,0,5,3,42,1,ddrdldddruururululurrdrurrdldrddddludluuld,1111111/1111111/1111011/1111001/1111101/1101111/1100111,images/grid_0056_n7_seed56.svg
57,7,57,43,0,0,0,6,42,0,ddddddrrrurrruuulldrdlluuulddddluuuuurrrrr,1111111/1111000/1111111/1111111/1111111/1111111/1111000,images/grid_0057_n7_seed57.svg
58,7,58,42,0,0,4,6,44,3,ddddddrrrrrrlluuulldrdlluuuurulrrrdrurddldrd,1111111/1110111/1100011/1111111/1111101/1111100/1111111,images/grid_0058_n7_seed58.svg
59,7,59,40,0,0,2,2,40,1,ddddddrruluuuurrrurrdlrdddddlulurulldluu,1000111/1111111/1110001/1111111/1111111/1110111/1110011,images/grid_0059_n7_seed59.svg
60,7,60,44,0,0,2,5,43,0,ddddddrrrrrruuuuuulllldrddldldrrurdruuluurd,1011111/1011111/1001111/1011111/1111111/1111111/1111111,images/grid_0060_n7_seed60.svg
61,7,61,40,0,0,6,0,40,1,dddrurdruururrdldrddddlllurruuluddlllldd,1000111/1001111/1111111/1111111/1111111/1001111/1001111,images/grid_0061_n7_seed61.svg
62,7,62,42,0,0,2,5,41,0,ddruurrdlddddlldrrrrrruuuuulldldddrruluru,1111000/1111111/1111111/0011111/0011111/1111111/1111111,images/grid_0062_n7_seed62.svg
63,7,63,40,0,0,5,0,43,4,dduurrddururrrdldrddddlllurruuldlullrdddllu,1111111/1011011/1010011/0111111/0011111/1011111/1111111,images/grid_0063_n7_seed63.svg
64,7,64,41,0,0,6,6,44,4,dddduruuurrrrrdddluuldddlduuuuldddddllrrrrrr,1111111/1111111/1111111/1111111/1011100/0011000/1111111,images/grid_0064_n7_seed64.svg
65,7,65,44,0,0,6,6,44,1,ddddddrruluuuuurrrrrdddluuldlulddrdlrddrurrd,1111111/1111111/1111111/1111011/1111000/1111111/1111101,images/grid_0065_n7_seed65.svg
66,7,66,39,0,0,4,6,44,6,dddruuurrrrrllldlddddldlrrruuuurrrllddddrruu,1111111/1111000/1111111/1111100/0011101/0111101/1111111,images/grid_0066_n7_seed66.svg
67,7,67,40,0,0,6,0,40,1,ddruurrrrrdlllldrrrrddldrdlllurlulullddd,1111111/1111111/1111111/1110001/1011011/1001111/1001111,images/grid_0067_n7_seed67.svg
68,7,68,43,0,0,3,5,42,0,ddddddrrrrrrullluuuulddddluuuuurrrdrurdddl,1111111/1111111/1111001/1111011/1111000/1111111/1111111,images/grid_0068_n7_seed68.svg
69,7,69,44,0,0,2,3,43,0,dddddruuuuurrrrrddluldddrdrdlluldluuruluurd,1111111/1111111/1111111/1111100/1111110/1111111/0011111,images/grid_0069_n7_seed69.svg
70,7,70,38,0,0,4,6,38,1,ddddddruurrrullluuurrrdrllldrrrddddruu,1111100/1111110/1111110/1111110/1111111/1100011/1100011,images/grid_0070_n7_seed70.svg
71,7,71,41,0,0,5,5,42,2,rdrurrrrddddddllllllruruuururrdldlddrurudd,1111111/0111111/0011111/0011111/0011111/0111111/1111111,images/grid_0071_n7_seed71.svg
72,7,72,39,0,0,6,0,40,2,ddddururulurrdrurrdlrdddddluuuldddluldll,1111111/1111111/1110001/1100111/1000111/0011111/1111111,images/grid_0072_n7_seed72.svg
73,7,73,36,1,0,5,1,35,0,drurdrrulurrrdldrdldrddluldluldllur,0001111/1111111/1111111/0000011/0000011/1111111/1111111,images/grid_0073_n7_seed73.svg
74,7,74,43,0,0,6,0,42,0,drurrrrrddddddlluruuuuldddldluuruuldldddld,1111111/1111111/0111111/0111111/0111111/1111111/1000111,images/grid_0074_n7_seed74.svg
75,7,75,40,0,0,6,6,40,1,rddruurrrrdldlduulddldrdllulddrrrrruurdd,1111111/0111111/0111110/0011100/1111011/1111011/1111111,images/grid_0075_n7_seed75.svg
76,7,76,39,0,0,0,5,41,3,ddddddrrrrrruululldrdrlllluruulduuurrrdur,1111110/1100100/1110000/1111110/1111111/1111111/1111111,images/grid_0076_n7_seed76.svg
77,7,77,41,1,0,4,1,40,0,dddddrrrrrruuuuuuldddldrdlluuuuldldrddlu,0000011/1011011/1111011/1111111/1111111/1111111/1111111,images/grid_0077_n7_seed77.svg
78,7,78,42,0,0,5,5,42,1,ddddddruruluuuurrrrrldldlulddrrdddrruuuldd,1111111/1111110/1111100/1111111/1110111/1110111/1100111,images/grid_0078_n7_seed78.svg
79,7,79,38,0,0,6,1,37,0,rrdrurrrdldrddddlllurruuldlluuldldddr,1111111/0011011/0110011/1110111/1011111/1001111/1101111,images/grid_0079_n7_seed79.svg
80,7,80,38,0,0,0,2,38,1,ddrdldrdldrrururddlrrruluruluruuldlull,1011111/1000111/1100011/1100011/1101111/1111111/1111111,images/grid_0080_n7_seed80.svg
81,7,81,36,0,0,0,6,38,3,ddddddrururddlrrrluurulluullduurrrdrur,1111111/1111110/1101000/1001110/1011110/1111100/1111110,images/grid_0081_n7_seed81.svg
82,7,82,38,0,0,6,2,40,3,dddddduuruurulurrdrurrdldldrruddldrdllll,1111111/1111111/1110111/1100111/1100011/1000011/1011111,images/grid_0082_n7_seed82.svg
83,7,83,40,0,0,2,6,40,1,ddddddrrrrrrullllluruuuurrrdllddrdlrrruu,1011110/1011110/1011001/1011101/1111111/1111111/1111111,images/grid_0083_n7_seed83.svg
84,7,84,41,0,0,5,0,41,1,ddrdrrululurrdrurrdldrddddluuuluddddllllu,1111111/1111111/1111111/0111111/0000111/1000111/1111111,images/grid_0084_n7_seed84.svg
85,7,85,42,0,0,6,6,42,1,ddddddrrrrulllururdruulullurrrdrrulddddddr,1111111/1111111/1001110/1011110/1111110/1111110/1111111,images/grid_0085_n7_seed85.svg
86,7,86,42,0,0,5,6,41,0,ddddddrrruruluuulddddluuuuurrrrrdllddrddr,1111111/1111111/1111100/1111110/1111110/1111111/1111000,images/grid_0086_n7_seed86.svg
87,7,87,39,0,0,6,5,39,1,drurdrurrrdldrddllurlllulldrdlddrurdrrr,1111111/1111011/1110011/1111111/1100111/1110000/1111110,images/grid_0087_n7_seed87.svg
88,7,88,45,0,0,2,0,44,0,rrddddldrruuuuurrrddddddluuuuuldddddlllluuuu,1111111/0011111/1011111/1011111/1111111/1111111/1111111,images/grid_0088_n7_seed88.svg
89,7,89,41,0,0,5,3,40,0,rdldrdldddrrrrrruuuuuulddldrddlululdldrr,1100011/1100011/1100111/1111111/1111111/1111111/1111111,images/grid_0089_n7_seed89.svg
90,7,90,41,0,0,5,5,42,2,durrddrrrullurrrddddddlllllluuruddrurdrurd,1111111/1011111/0011111/0100001/1111111/1111111/1111111,images/grid_0090_n7_seed90.svg
91,7,91,45,0,0,6,6,44,0,ddddddrrrulluuuuurrrrrddluldluldddrurrdlddrr,1111111/1111111/1111111/1111110/1111110/1111100/1111111,images/grid_0091_n7_seed91.svg
92,7,92,41,0,0,3,6,41,1,ddddddrrrrrulluuruuldluddddluuuuurrrrrddd,1111111/1111101/1111101/1111101/1111000/1111110/1111110,images/grid_0092_n7_seed92.svg
93,7,93,39,0,0,0,6,40,2,rddddlddrurdrruulluuuurrdlddddrrdruuuuuu,1111101/0111101/0111001/0111001/1111101/1111111/1111111,images/grid_0093_n7_seed93.svg
94,7,94,40,0,0,6,4,44,5,ddddddruruluuuurrrrrlldlldrdlrdrrurudddduldl,1111111/1111100/1111001/1111011/1111111/1110011/1100111,images/grid_0094_n7_seed94.svg
95,7,95,42,0,0,4,2,42,1,rddddlddrurdrrrruuuuuulddldrddlulduuuulddd,1100011/0111011/0111111/0111111/1111111/1111111/1111111,images/grid_0095_n7_seed95.svg
96,7,96,39,2,0,6,0,40,2,drduurdruulurrrrddddddlluruuuulddddldlll,0011111/0011111/1111111/1111111/0100111/0001111/1111111,images/grid_0096_n7_seed96.svg
97,7,97,40,0,0,6,5,39,0,ddddrddrrulurulluuurrrrrddlullldrrddddr,1111111/1111111/1111111/1111100/1111100/0111100/0111110,images/grid_0097_n7_seed97.svg
98,7,98,43,0,0,1,1,42,0,ddddddrruluuurddrurdrddruuuluruuldluldluld,1111111/1111111/1110011/1111111/1111111/1110011/1110011,images/grid_0098_n7_seed98.svg
99,7,99,39,0,0,6,3,43,5,dddddduuuruuurrrrrdddddduulullurrullldddddr,1111111/1111111/1111111/1111111/1010011/1010001/1011001,images/grid_0099_n7_seed99.svg
100,7,100,42,0,0,5,0,41,0,rrdrurrrddddddlllluuurddrruluruuldllllddd,1111111/0011111/1111111/1011111/1011111/1011111/0011111,images/grid_0100_n7_seed100.svg
101,7,101,43,0,0,4,1,43,1,ddddddrrruuuruurdddlddrrulruuuuullldluldddd,1111111/1111111/1100111/1101111/1101111/1001111/1111111,images/grid_0101_n7_seed101.svg
102,7,102,38,0,0,5,5,38,1,ddddddrurdrrrruuuuuullldluldrdrdddrurd,1111111/1111001/1011001/1001001/1001111/1111111/1111111,images/grid_0102_n7_seed102.svg
103,7,103,41,0,0,0,6,44,4,ddddddrrrrrruuddlluuulddlluruluuurrdldrrruur,1111011/1111010/1111110/1111100/1111101/1111101/1111111,images/grid_0103_n7_seed103.svg
104,7,104,45,0,0,6,5,45,1,ddddddrrrulluuuuurrrrrdddduluulddluuldddrrddr,1111111/1111111/1111111/1111111/1111101/1111100/1111110,images/grid_0104_n7_seed104.svg
105,7,105,40,0,0,6,2,40,1,ddddddrururuululurrdrurrlddlddrdrdlluldl,1111111/1111110/1011110/1001100/1011110/1111111/1111111,images/grid_0105_n7_seed105.svg
106,7,106,40,0,0,0,3,41,2,ddddddrrrurdrruluruuuuddldlulldddluuuuurr,1111001/1100001/1111111/1110111/1110011/1111111/1111111,images/grid_0106_n7_seed106.svg
107,7,107,39,0,0,5,6,39,1,dddrdddruurululuurdrurrrddluldldrdrddru,1111111/1111111/1111111/1111100/0111110/0110011/0110011,images/grid_0107_n7_seed107.svg
108,7,108,44,0,0,6,3,45,2,ddddddruuuruurullrrrrrddddddluuluruuldlddlddr,1111111/1011111/1011111/1111111/1111111/1110011/1111011,images/grid_0108_n7_seed108.svg
109,7,109,39,0,0,5,1,40,2,ddddddrrrrrrululrruuuuldulldddluuulddddd,1111111/1111011/1111001/1111001/1100111/1100011/1111111,images/grid_0109_n7_seed109.svg
110,7,110,41,0,0,3,2,41,1,dddrdrddlrrrulurrruuuulllllddrurdrurddlll,1111111/1111111/1111111/1111111/0111111/0011100/0111100,images/grid_0110_n7_seed110.svg
111,7,111,40,0,0,1,1,40,1,ddddddrruluuurddrurddrrulruuuuldluldluld,1111111/1111111/1110001/1111101/1111111/1110111/1110000,images/grid_0111_n7_seed111.svg
112,7,112,39,0,0,6,1,39,1,ddruurrrrrddddddllruuluruuldlulddllddrd,1111111/1111111/1111111/1110111/1000111/1100011/0100111,images/grid_0112_n7_seed112.svg
113,7,113,40,0,0,5,4,39,0,rdlddrurrruurrdldrddddllllllurrrururddl,1100111/1100111/1111111/1100111/0001111/1111111/1111111,images/grid_0113_n7_seed113.svg
114,7,114,43,0,0,3,6,43,1,ddddddrrrrrrulluuluurlldddrdlluuuuurrrrrddd,1111111/1111101/1111001/1111101/1111100/1111111/1111111,images/grid_0114_n7_seed114.svg
115,7,115,43,0,0,6,1,43,1,ddddrruluuurrrrrddluldlulddrrrrdldrdllluldl,1111111/1111111/1111111/1111111/1110011/0011011/0111111,images/grid_0115_n7_seed115.svg
116,7,116,39,0,0,0,5,41,3,drurlddddlddrururddlrrrruuuuldddluulururu,1110010/1100110/0101111/0101111/1111111/1111111/1111111,images/grid_0116_n7_seed116.svg
117,7,117,42,0,0,1,1,42,1,ddddddrrrrrrulluururuulddlldddlluruluruuld,1110011/1110011/1111111/1111110/1111100/1111111/1111111,images/grid_0117_n7_seed117.svg
118,7,118,42,0,0,4,1,43,2,rddruurrrrddddddllulrruluruuldluddllldddruu,1111111/0111111/0111111/1111111/1100111/1101111/1100111,images/grid_0118_n7_seed118.svg
119,7,119,42,0,0,6,6,42,1,ddddddruruluuuurrrrrddluldlulddrdrurdddlrr,1111111/1111111/1111111/1111110/1111110/1110010/1100111,images/grid_0119_n7_seed119.svg
120,7,120,41,0,0,6,6,40,0,ddddddrrrulluuurulurrrrrdddlluldldrrddrr,1111111/1110001/1111101/1111111/1111100/1111100/1111111,images/grid_0120_n7_seed120.svg
121,7,121,40,0,0,5,2,41,2,ddddduruuuurrrrrddddddlluruuuuldlduuldddd,1111111/1111111/1111111/1111011/1110011/1010111/0000111,images/grid_0121_n7_seed121.svg
122,7,122,43,0,0,1,6,43,1,ddddddrrrrrrululdluuruuullldddddruuuurdrrru,1111100/1111101/1111111/1111100/1111110/1111111/1111111,images/grid_0122_n7_seed122.svg
123,7,123,44,0,0,2,5,43,0,dddddrdruuluuuurrrrrddddddlluruullluurdrurd,1111111/1111111/1111111/1111111/1110011/1110111/0110111,images/grid_0123_n7_seed123.svg
124,7,124,44,2,0,4,5,43,0,ddddrrrrrruuuluuulllldddddruuuurrdldrdldrru,0111110/0111110/1111110/1111111/1111111/1111111/1111111,images/grid_0124_n7_seed124.svg
125,7,125,41,0,0,2,5,41,1,ddddddrruluuuuurrrrrdddldldulluuurddruurd,1111111/1111111/1111111/1111111/1111110/1110100/1110000,images/grid_0125_n7_seed125.svg
126,7,126,37,0,0,0,6,38,2,ddruurdrudddrdllddlrrurdrrulurululuurr,1111111/1111100/1101110/0001111/0011111/0011111/0111111,images/grid_0126_n7_seed126.svg
127,7,127,43,4,0,0,1,43,1,ddrrrrrruuuuuullldrrddddluuuldddlluudruuuul,0111111/0011111/0011111/0111111/1111111/1111111/1111111,images/grid_0127_n7_seed127.svg
128,7,128,40,0,0,1,5,40,1,ddddddrrrrrurduuuuuullllldddddruuuurrdru,1111111/1111111/1110111/1110001/1110001/1110011/1111111,images/grid_0128_n7_seed128.svg
129,7,129,41,0,0,0,6,42,2,ddddddrrrrrulllluuuurrurlddlddrurdrruluruu,1001101/1111001/1111011/1111111/1111111/1111110/1111110,images/grid_0129_n7_seed129.svg
130,7,130,36,0,0,0,6,36,1,rrrrlddlllddddrrrurulldluurrrrdruuuu,1111101/0001001/1111001/1111111/1111111/1111100/1111000,images/grid_0130_n7_seed130.svg
131,7,131,43,0,0,2,6,42,0,ddddddrrruuldluuurulurrdrurrdldldrdddruuuu,1111111/1111111/1110111/1100111/1111011/1111011/1111011,images/grid_0131_n7_seed131.svg
132,7,132,39,1,0,6,5,42,4,dddddrrrulluurrdluulururrdrduurddddllrrddl,0011111/1110111/1110011/1111001/1111111/1111001/1111011,images/grid_0132_n7_seed132.svg
133,7,133,41,0,0,1,6,43,3,rdrdllurddldddrrrrrruuudldluldllurururuurrd,1100111/1110101/1111100/1111001/1111111/1111111/1111111,images/grid_0133_n7_seed133.svg
134,7,134,42,0,0,4,1,43,2,ddddddrrrrrurduuuuuulddldluluurlldddrdrdllu,1111011/1110011/1111111/1111101/1111001/1111011/1111111,images/grid_0134_n7_seed134.svg
135,7,135,39,0,0,5,6,39,1,rrrrrrdddllurulldlulldrdldrdrudrdrurdru,1111111/1111111/1111111/1100111/1110000/0111111/0001111,images/grid_0135_n7_seed135.svg
136,7,136,43,0,0,2,4,42,0,ddddddrruluuurddrddrrruluruluruuldlulldrdr,1011111/1011111/1111111/1110011/1111011/1111011/1111111,images/grid_0136_n7_seed136.svg
137,7,137,40,0,0,0,1,43,4,ddddddrrrurrruuuuulrddlldrdllldluurruuudlul,1111011/1011001/1001111/1111111/1111111/1111111/1111000,images/grid_0137_n7_seed137.svg
138,7,138,41,0,0,6,0,40,0,dddruuurrrrrddddluuuldddddluuuuuldddlldd,1111111/1111111/1111111/1111111/1111111/1001100/1001100,images/grid_0138_n7_seed138.svg
139,7,139,40,0,0,5,6,41,2,rlddddrrrrurruuullldrrdlldluldddldrrrrrru,1101111/1001111/1111111/1111111/1111100/1100001/1111111,images/grid_0139_n7_seed139.svg
140,7,140,43,0,0,3,4,43,1,rdldddddrrurdrrruuuuuullldrrddddlulululrrrd,1101111/1101111/1111111/1011111/1001111/1011111/1111111,images/grid_0140_n7_seed140.svg
141,7,141,41,0,0,4,0,42,2,ddruurrrrrdddululddddrdrllluuuuuldddddlluu,1111111/1111111/1111111/0011101/1011100/1011110/1111111,images/grid_0141_n7_seed141.svg
142,7,142,39,2,0,0,2,38,0,ddddrrrrrruuuuuuldddddllllurrruluruull,0011111/0000111/1001111/1001111/1111111/1111111/1111111,images/grid_0142_n7_seed142.svg
143,7,143,43,0,0,3,3,42,0,ddddddrrrrrruuuuuulddldrddluldllurulururdd,1000011/1011011/1111111/1111111/1111111/1111111/1111111,images/grid_0143_n7_seed143.svg
144,7,144,38,0,0,6,0,38,1,ddrrulurrrrdrdldrdddlllrurululdlullddd,1111110/1110011/1110011/1111111/1011111/1000111/1001111,images/grid_0144_n7_seed144.svg
145,7,145,41,0,0,5,0,41,1,drdrdrddruuulululrrrdrurddldrdldrdllllull,1111111/1111111/0111111/0011111/0001111/1111111/0011111,images/grid_0145_n7_seed145.svg
146,7,146,40,0,0,2,3,39,0,ddddddruuuruluurdrurrrdlldrdldrrdllluuu,1111111/1111111/1111110/1111110/1101111/1101111/1100000,images/grid_0146_n7_seed146.svg
